"time","swcT","temperatureT","swcB","temperatureB","date","RAWT","RAWB","epT","epB","epT.sqrt","epB.sqrt"
2023-07-11 02:00:00,0.413,27.5,0.442,27.4,2023-07-11 02:00:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 02:15:00,0.413,27.5,0.442,27.4,2023-07-11 02:15:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 02:30:00,0.413,27.5,0.442,27.4,2023-07-11 02:30:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 02:45:00,0.413,27.5,0.442,27.4,2023-07-11 02:45:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 03:00:00,0.413,27.5,0.442,27.4,2023-07-11 03:00:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 03:15:00,0.413,27.5,0.442,27.4,2023-07-11 03:15:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 03:30:00,0.413,27.5,0.442,27.4,2023-07-11 03:30:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 03:45:00,0.413,27.5,0.442,27.4,2023-07-11 03:45:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 04:00:00,0.413,27.5,0.442,27.4,2023-07-11 04:00:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 04:15:00,0.413,27.5,0.442,27.4,2023-07-11 04:15:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 04:30:00,0.413,27.5,0.442,27.4,2023-07-11 04:30:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 04:45:00,0.413,27.5,0.442,27.4,2023-07-11 04:45:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 05:00:00,0.413,27.5,0.442,27.4,2023-07-11 05:00:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 05:15:00,0.413,27.5,0.442,27.4,2023-07-11 05:15:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 05:30:00,0.413,27.5,0.442,27.4,2023-07-11 05:30:00,2852.62036701124,2926.79833673525,23.7312255356879,27.3852515277274,4.87147057218741,5.23309196629749
2023-07-11 05:45:00,0.413,27.5,0.443,27.4,2023-07-11 05:45:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 06:00:00,0.413,27.5,0.443,27.4,2023-07-11 06:00:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 06:15:00,0.413,27.5,0.443,27.4,2023-07-11 06:15:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 06:30:00,0.413,27.5,0.443,27.4,2023-07-11 06:30:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 06:45:00,0.413,27.5,0.443,27.4,2023-07-11 06:45:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 07:00:00,0.413,27.5,0.443,27.4,2023-07-11 07:00:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 07:15:00,0.413,27.5,0.443,27.4,2023-07-11 07:15:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 07:30:00,0.413,27.5,0.443,27.4,2023-07-11 07:30:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 07:45:00,0.413,27.5,0.443,27.4,2023-07-11 07:45:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 08:00:00,0.413,27.5,0.443,27.4,2023-07-11 08:00:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 08:15:00,0.413,27.5,0.443,27.4,2023-07-11 08:15:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 08:30:00,0.413,27.5,0.443,27.4,2023-07-11 08:30:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 08:45:00,0.413,27.5,0.443,27.4,2023-07-11 08:45:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 09:00:00,0.413,27.5,0.443,27.4,2023-07-11 09:00:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 09:15:00,0.413,27.5,0.443,27.4,2023-07-11 09:15:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 09:30:00,0.413,27.5,0.443,27.5,2023-07-11 09:30:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 09:45:00,0.413,27.5,0.443,27.5,2023-07-11 09:45:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 10:00:00,0.413,27.5,0.443,27.5,2023-07-11 10:00:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 10:15:00,0.413,27.5,0.443,27.5,2023-07-11 10:15:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 10:30:00,0.413,27.5,0.443,27.5,2023-07-11 10:30:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 10:45:00,0.413,27.5,0.443,27.5,2023-07-11 10:45:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 11:00:00,0.413,27.5,0.443,27.5,2023-07-11 11:00:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 11:15:00,0.413,27.5,0.443,27.5,2023-07-11 11:15:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 11:30:00,0.413,27.5,0.443,27.5,2023-07-11 11:30:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 11:45:00,0.413,27.5,0.443,27.5,2023-07-11 11:45:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 12:00:00,0.413,27.5,0.443,27.5,2023-07-11 12:00:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 12:15:00,0.413,27.5,0.443,27.5,2023-07-11 12:15:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
2023-07-11 12:30:00,0.413,27.5,0.443,27.5,2023-07-11 12:30:00,2852.62036701124,2929.35619776022,23.7312255356879,27.524859453179,4.87147057218741,5.24641396128622
